name,type,source,address,grow,lat,lon
Angie Lee Gonzalez Park,Community Garden,CUSP,"1768 Bryant Ave, Bronx, NY 10460, USA",Outdoor,40.8366131,-73.88467539999999
Morning Glory Community Garden,Community Garden,CUSP,"1219 Hoe Ave, Bronx, NY 10459, USA",Outdoor,40.82933999999999,-73.891148
Kenton Hall Neighborhood Garden,Community Garden,CUSP,"305 E 165th St, Bronx, NY 10456, USA",Outdoor,40.828999,-73.914846
Elizabeth Barrett Browning Garden,Community Garden,CUSP,"2338 Walton Ave, Bronx, NY 10468, USA",Outdoor,40.859496,-73.90178
Kingsbridge Heights Community Center,Community Garden,CUSP,"3101 Kingsbridge Terrace, Bronx, NY 10463, USA",Outdoor,40.8776646,-73.9006799
Eagle Slope / Nueva Granja,Community Garden,CUSP,"586 Westchester Ave, Bronx, NY 10455, USA",Outdoor,40.8157338,-73.9113591
Garden of Life and Health,Community Garden,CUSP,"757 Melrose Ave, Bronx, NY 10451, USA",Outdoor,40.8215481,-73.9155791
Jackson Forest Community Garden,Community Garden,CUSP,"722 Home St, Bronx, NY 10456, USA",Outdoor,40.8281368,-73.90271109999999
Via Verde Rooftop Garden,Community Garden,CUSP,"700 Brook Ave, Bronx, NY 10455, USA",Outdoor,40.8189743,-73.91232959999999
Jacqueline Denise Davis (JDD) Garden,Community Garden,CUSP,"1024 Boston Rd, Bronx, NY 10456, USA",Outdoor,40.8258874,-73.9065724
St. Augustine Presbyterian Church,Community Garden,CUSP,"1013 Prospect Ave, Bronx, NY 10459, USA",Outdoor,40.823922,-73.900228
Wishing Well Community Garden,Community Garden,CUSP,"864 Rev James A Polite Ave, Bronx, NY 10459, USA",Outdoor,40.819513,-73.89863799999999
United We Stand / 138th Street Community Garden,Community Garden,CUSP,"635 E 138th St, Bronx, NY 10454, USA",Outdoor,40.8060578,-73.915024
Wanaqua Family Garden,Community Garden,CUSP,"460 E 136th St, Bronx, NY 10454, USA",Outdoor,40.806741,-73.9219066
Hope of Israel Senior Center,Community Garden,CUSP,"840 Gerard Ave, Bronx, NY 10451, USA",Outdoor,40.8265801,-73.9252381
Anthony Avenue Garden,Community Garden,CUSP,"2078 Anthony Ave, Bronx, NY 10457, USA",Outdoor,40.8528523,-73.90155650000001
Bainbridge Garden,Community Garden,CUSP,"2980 Bainbridge Ave, Bronx, NY 10458, USA",Outdoor,40.8709415,-73.8839447
Belmont Little Farmers,Community Garden,CUSP,"2485 Belmont Ave, Bronx, NY 10458, USA",Outdoor,40.857006,-73.884638
Bruckner Mott Haven Garden,Community Garden,CUSP,"179 Bruckner Blvd, Bronx, NY 10454, USA",Outdoor,40.8038087,-73.9145546
Cauldwell Youth Garden,Community Garden,CUSP,"551 Cauldwell Ave, Bronx, NY 10455, USA",Outdoor,40.814167,-73.911052
Davidson Avenue Community Garden,Community Garden,CUSP,"2387 Davidson Ave, Bronx, NY 10468, USA",Outdoor,40.8613392,-73.90357879999999
Fordham Bedford Lot Busters,Community Garden,CUSP,"Bainbridge Ave & E 193rd St, Bronx, NY 10458, USA",Outdoor,40.8640865,-73.8924176
Grant Avenue Block Association Garden,Community Garden,CUSP,"1062 Grant Ave, Bronx, NY 10456, USA",Outdoor,40.83029399999999,-73.916555
Jacquline (NO ‘E’) Denise Davis Garden,Community Garden,CUSP,"E 165th St & Boston Rd, Bronx, NY 10456, USA",Outdoor,40.8258061,-73.9070223
